Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.kg,DietBreadth,HabitatBreadth,InterbirthInterval.d,LitterSize,MaxLongevity.y,SexualMaturityAge.y,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.cm,Temp.Mean.1degC
Mustela erminea,Negative,Negative,polygamous,no,-56.45,-20.91,-0.31,2,0.28,1,1,365,6.74,7.1,0.26,60.93,39718064.94,50.89,-0.01,27.06,3.82,-2.82
Mustela nivalis,Negative,Negative,polygamous,no,-56.48,-20.94,-0.31,2,0.08,1,1,273.75,5.07,10,0.47,36.74,43656881.02,51.84,-6.45E-08,36.98,3.75,-0.71
Mustela frenata,Negative,Negative,polygamous,no,-56.36,-20.84,-0.31,2,0.19,1,2,365,6.5,7.1,0.55,34.23,12290918.8,19.52,-94.34,42.5,7.82,13.09
Bassariscus astutus,Negative,Negative,NA,no,-50.08,-15.41,-0.2,1,1.01,6,1,365,3,16.5,0.76,53.84,3916072.44,29.65,-107.94,37.3,4.53,15.4
Crossarchus obscurus,Negative,Negative,NA,yes,62.27,-18.82,-28.97,3,1.4,6,1,121.66,4.29,9,0.76,29.23,438210.83,6.82,-6.63,72.53,17.5,25.64
Felis nigripes,Negative,Negative,polygamous,no,45.09,5.09,67.39,2,1.36,1,1,228.12,1.78,12,0.78,67.23,1732323.73,-24.65,22.29,8.32,3.06,18.67
Civettictis civetta,Negative,Negative,NA,no,58.97,-16.46,-24.32,1,12.08,6,1,212.14,2.31,28,0.78,82.91,14207678.6,-6.02,13.26,36.77,10.13,23.71
Vulpes zerda,Negative,Negative,monogamous,yes,-6.79,84.29,-17.13,1,1.32,6,1,365,2.36,14.58,0.81,65.56,6960271.02,25.73,15.99,3.93,0.36,24.56
Felis catus,Negative,Negative,polygamous,yes,45.1,5.09,67.41,NA,2.88,NA,NA,NA,NA,34,0.81,NA,NA,NA,NA,NA,NA,NA
Mustela putorius,Negative,Negative,polygamous,no,-56.51,-20.96,-0.31,1,0.98,1,1,252.5,8.48,14,0.85,54.39,7565541.29,47.73,27.32,95.38,5.08,6.39
Vulpes chama,Negative,Negative,monogamous,yes,-6.79,84.22,-17.11,1,2.92,6,1,NA,2.5,10,0.85,NA,2079866.13,-25.18,21.48,15.78,3.07,17.91
Herpestes edwardsi,Negative,Negative,NA,yes,62.17,-18.75,-28.85,3,1.3,6,1,109.5,2,NA,0.85,34.8,3629768.58,19.99,69.16,313.35,8.06,24.23
Mustela eversmanii,Negative,Negative,polygamous,yes,-56.51,-20.96,-0.31,1,1.68,1,1,365,7.82,NA,0.89,48.8,16554151.55,43.4,71.84,39.51,3.43,1.79
Conepatus leuconotus,Negative,Negative,polygamous,no,-47.1,-12.87,-0.16,1,3.29,1,1,182.5,3.6,7,0.93,45.56,2509559.21,26,-99.88,43.68,5.66,18.07
Speothos venaticus,Negative,Negative,monogamous,yes,-6.82,84.96,-17.3,3,6.32,1,1,247.94,3.8,10.33,0.94,127.3,9703966.13,-7.32,-58.42,20.52,15.15,24.05
Mungos mungo,Negative,Negative,NA,yes,62.25,-18.81,-28.95,3,1.26,1,1,365,2.68,12,0.96,20.88,15894555.38,-8.34,16.93,33.16,7.88,23.86
Felis silvestris,Negative,Negative,polygamous,no,45.1,5.09,67.42,2,4.57,1,1,148.25,3.59,28,0.96,76.01,32110980.01,8.59,47.3,43.43,4.7,19.28
Mustela lutreola,Negative,Negative,NA,NA,-56.51,-20.96,-0.31,2,0.57,2,3,365,4.5,10,0.96,58.71,3568955.39,54.33,28.63,50.57,4.55,4.18
Urocyon littoralis,Negative,Negative,monogamous,no,-6.75,83.15,-16.84,2,1.92,6,1,365,2.17,8,0.99,NA,511.92,33.98,-119.98,82.01,NA,NA
Taxidea taxus,Negative,Negative,polygamous,no,-53.97,-18.85,-0.27,1,7.84,1,1,365,2.76,26,1.00,41.99,8860573.16,38.45,-101.73,26.45,4.16,9.15
Aonyx capensis,Negative,Negative,monogamous,no,-56.5,-20.96,-0.31,2,19.32,6,2,NA,2.62,11,1.02,NA,14162350.57,-8.89,12.27,39.28,10.01,23.31
Mustela nigripes,Negative,Negative,NA,no,-56.51,-20.96,-0.31,1,0.91,1,1,365,3.36,12,1.02,59.66,NA,NA,NA,NA,NA,NA
Cuon alpinus,Negative,Negative,monogamous,yes,-6.82,85.12,-17.34,2,15.8,1,1,365,4.3,16,1.03,57.33,10546280.1,23.37,106.52,145,9.53,9.65
Lycalopex culpaeus,Negative,Negative,monogamous,no,-6.83,85.29,-17.38,1,8.62,2,1,365,4.88,NA,1.03,48.22,2809619.42,-26.69,-71.61,17.94,5.62,8.88
Vulpes cana,Negative,Negative,monogamous,no,-6.79,84.29,-17.13,1,0.99,6,1,NA,2,10,1.04,44.74,2162391.85,27.06,49.02,33.51,1.98,16.57
Felis chaus,Negative,Negative,polygamous,no,45.09,5.09,67.39,2,7.16,1,1,130.01,2.94,12,1.05,95.49,8986835.66,26.78,68.28,178.67,7.42,20.11
Paradoxurus hermaphroditus,Negative,Negative,NA,no,59.2,-16.61,-24.6,1,3.2,6,1,182.5,3.29,22.42,1.09,NA,7074837.93,12.12,99.45,232.74,15.29,23.26
Martes pennanti,Negative,Negative,NA,no,-55.93,-20.48,-0.3,2,3.75,1,1,365,3.02,10.15,1.13,76.76,3481123.82,48.74,-97.45,7.19,5.41,0.93
Chrysocyon brachyurus,Negative,Negative,monogamous,no,-6.82,84.98,-17.3,2,23.33,6,1,NA,2,15,1.15,119,5038801.01,-17.32,-52.48,23.01,11.02,22.35
Meles meles,Negative,Negative,polygamous,yes,-55.41,-20.04,-0.29,2,11.88,1,1,365,3.11,16.2,1.15,91.3,NA,NA,NA,NA,NA,NA
Vulpes ferrilata,Negative,Negative,monogamous,yes,-6.83,85.24,-17.37,NA,5.54,1,1,NA,3.49,NA,1.15,55.68,2339623.06,32.4,91.71,29.53,6.08,-3.45
Helogale parvula,Negative,Negative,monogamous,yes,62.26,-18.82,-28.96,3,0.28,1,1,141.94,3.49,10.92,1.16,21,6944753.53,-7.04,31.73,30.49,7.14,22.24
Caracal caracal,Negative,Negative,polygamous,no,44.74,5,65.92,1,11.96,1,1,365,2.3,17,1.20,120.41,26609096.78,5.5,31.75,39.44,4,22.16
Ictonyx striatus,Negative,Negative,polygamous,no,-56.19,-20.7,-0.3,1,0.81,6,1,365,2.3,13.33,1.23,59.09,16688705.64,-6.1,15.42,28.73,6.31,23.52
Martes americana,Negative,Negative,polygamous,no,-56,-20.54,-0.3,2,0.87,1,1,365,2.6,19,1.25,45.73,7620172.14,52.85,-107.58,4.32,4.85,-2.61
Vulpes velox,Negative,Negative,monogamous,yes,-6.8,84.34,-17.14,1,2.09,1,1,365,4.25,20,1.29,47.08,671658.66,38.43,-102.84,7.54,3.54,10.56
Martes zibellina,Negative,Negative,NA,NA,-56.01,-20.54,-0.3,2,1.17,6,1,NA,3.13,15,1.31,52.23,6492749.47,55.69,116.98,6.04,3.18,-7.83
Martes martes,Negative,Negative,NA,no,-56.01,-20.54,-0.3,1,1.3,1,1,365,3.49,17,1.39,54.19,8361437.29,53.35,37.01,75.76,5.19,4.26
Fossa fossana,Negative,Negative,monogamous,no,60.49,-17.6,-26.61,1,1.85,6,2,365,1,11,1.46,66.84,106522.05,-18.81,48.5,37.33,16.8,20.28
Ailurus fulgens,Negative,Negative,polygamous,no,-46.13,-12.38,-0.15,2,5.17,3,1,365,1.7,14,1.65,136.87,1075406.59,28.38,94.38,51.8,13.19,4.47
Bassaricyon gabbii,Negative,Negative,polygamous,no,-50.04,-15.39,-0.2,1,1.25,6,2,NA,1,25,1.66,89.49,803202.18,5.08,-77.78,46.86,17.64,23.09
Procyon cancrivorus,Negative,Negative,polygamous,no,-50.12,-15.44,-0.21,1,6.93,6,2,NA,2.62,14,1.73,111.36,12829315.4,-11.16,-59.17,22.53,14.43,23.74
